A,19.71750069,19.97745895,C
A,24.2954998,25.08595848,Uncategorized
A,60.2602005,60.48745728,U
A,76.42549896,76.66645813,U
A,79.8144989,80.44895935,C
A,115.0329971,115.2710648,V
A,245.1434937,245.4029541,L
A,288.5780029,288.832489,U
A,296.0035095,296.6554565,Uncategorized
A,300.3175049,300.6094666,T
A,311.6629944,313.3324585,Uncategorized
A,346.213501,346.4484558,N
A,375.4541016,378.2409363,C
A,381.3062134,382.4054871,Uncategorized
A,430.9744873,431.2089539,N
A,432.7355042,432.9629822,U
A,592.1049805,592.3754883,N
A,613.2161865,613.4754639,T
A,643.0435181,643.4754639,T
A,747.5681763,747.9609375,W
A,751.6281128,751.8814697,N
A,829.1730957,829.4121704,T
A,843.6574707,843.9169922,Uncategorized
A,938.3834839,938.6390991,V
A,1134.317505,1134.552002,U
A,1174.877441,1175.099487,V
A,1274.493042,1274.953003,Uncategorized
A,1277.367188,1278.186157,Uncategorized
A,1278.30249,1278.902466,C
A,1489.061035,1489.316162,W
A,1507.849976,1508.082153,N
A,1574.78894,1575.037476,L
A,1608.456055,1608.694092,W
A,2142.717041,2142.957031,N
A,2144.074463,2144.306885,U
A,2164.42749,2165.14209,C
A,2165.482422,2165.786865,N
A,2190.252441,2191.150146,C
A,2233.566406,2233.831543,L
A,2336.914551,2337.518066,Uncategorized
A,2450.938477,2451.258057,L
A,2462.579102,2462.824219,U
